Observations,x_6R__5_6_7_8_tetrahydrobiopterin,x1_deoxy_D_xylulose_5_phosphate,x2_3_dihydroxybenzoicAcid,x2_3_dihydroxypropane_1_sulfonate,x3_hydroxybenzoicAcid,x3_mercaptoProprionate,x4_hydroxybenzoicAcid,x5__Deoxy_5__methylthio_adenosine,adeninePos,arginine,asparticAcidPos,betaine,chitobiose,chitotriose,ciliatine,citricAcid,citrulline,desthiobiotinPos,D_glucosamine6_phosphate,DMSP,D_Ribose5_phosphate,ectoine,glutamicAcid,glutamine,guanine,guanosineNeg,inosine,inosine5__monophosphatePos,l_kynurenine,n_acetylGlucosamine,n_acetylMuramicAcidPos,NADPos,ornithine,pantothenicAcidNeg,phenylalanine,proline,s_adenosyl_L_methionine,salicylicAcid,serine,succinicAcid,syringicAcid,tryptophan,xanthineNeg,xanthosineNeg
Omni1,0,0,0,0,2.70809906428063e-05,0,2.70809906428063e-05,0,4.62507955077444e-06,2.35114389111005e-05,0,0.00118874036389621,0,0,0,9.53722457863275e-05,0,0,0,0.00209605528119962,0,0.000258462206776982,0.000138393194645363,4.41034013744247e-06,2.39332173330879e-06,0,1.44770135410298e-05,0,0,0,0,3.77103370878284e-05,0,1.30469239895989e-05,2.58749137806301e-05,1.4364519499967e-05,0,2.70809906428063e-05,0,3.96012596202681e-05,7.67599057277343e-05,0,0,0
Omni2,0,0,0,0,1.73559082658249e-05,0,1.73559082658249e-05,0,0,1.42914014937179e-05,0,0.000172904338835517,0,0,2.20565602294411e-06,0,0,1.90779231080384e-06,0,0.000177890959120152,0,0,3.6204963521741e-05,0,8.77094464760156e-05,0,1.21835001744395e-05,1.1793700883786e-05,0,0,0,2.20386416275412e-05,0,1.03059937829985e-05,0,0,0,1.73559082658249e-05,0,0,0,0,0,1.58938578125078e-05
Omni3,0,0,0,0,0,0,0,0,2.2478920456252e-06,0,0,0.00058159112939968,0,0,0,3.47524702114704e-05,0,8.1031446636534e-07,0,0.000967020749344415,0,0.00013545885109044,0.000105779795701487,2.37110000335579e-06,5.85180295827834e-06,1.99704271483634e-05,8.20418370861364e-06,5.10405535128557e-06,0,0,0,1.60226142880264e-05,0,4.91028929334482e-06,1.63500156057402e-05,1.12672755303766e-05,0,0,0,0,2.12257815756204e-05,0,0,6.82944626175946e-06
Omni4,0,0,0,0,1.67712200774098e-05,1.8899030969341e-05,1.67712200774098e-05,1.05846727425254e-06,0,1.67720268066394e-05,0,0.000494291068063178,0,0,2.57532679337461e-06,0,0,1.81224970227238e-06,0,0.000485878229462707,0,0,2.12329383948897e-05,6.0329097194875e-06,0.000209993083825359,0,1.53617753245522e-05,1.04189450494105e-05,0,0,0,0,0,0,0,4.05056250159782e-06,0,1.67712200774098e-05,0,0,0,0,0,1.50573987743329e-05
Omni5,0,0,5.17046571645585e-06,0,9.77599400428807e-06,0,9.77599400428807e-06,0,0,1.32667932908919e-05,0,0.000802588497458045,0,0,0,0,0,1.39558467095782e-06,0,0.00153450405566849,0,0.000283652900572678,0.000183042126420581,5.12845027337137e-06,8.13417901031219e-06,0,9.46413055669533e-06,0,0,0,0,2.71466305073175e-05,0,9.10745907669275e-06,2.68130895502789e-05,1.29416765200755e-05,0,9.77599400428807e-06,0,0,3.8619939197876e-05,0,0,0
Omni6,0,0,0,0,1.24619302829574e-05,0,1.24619302829574e-05,0,4.53037356567883e-06,1.28197446902553e-05,0,0.000844261338665197,0,0,0,6.89881379730733e-05,0,1.61660208001765e-06,0,0.00165337126255258,4.64712547357833e-06,0.000500218930810396,0.000154672373178492,3.05906901970832e-06,2.02788575574771e-05,1.83614619598413e-05,1.30289372065187e-05,0,0,0,0,3.34422600074289e-05,0,9.44788575334085e-06,3.01309812426187e-05,1.0711251169364e-05,6.18590391589121e-05,1.24619302829574e-05,0,0,7.2419432663043e-05,0,0,1.40138168678827e-05
Omni7,0,0,0,0,1.28418445525452e-05,1.84408726428115e-05,1.28418445525452e-05,1.17382437661592e-06,0,1.30881633986947e-05,0,0.000790101764626156,0,0,3.19704918936084e-06,8.13414221859139e-05,0,1.73776545215876e-06,0,0.00159291319967387,4.95826256866861e-06,0.000118530558469175,9.6020259773513e-05,5.2752214170386e-06,0.000100053572301683,0,1.12219072166402e-05,1.03475282960953e-05,0,0,0,2.09322298789992e-05,0,9.79106611491052e-06,1.97665690861848e-05,1.01498732713301e-05,0,1.28418445525452e-05,0,0,6.10589711594151e-05,0,0,0
Omni8,0,0,0,0,9.32267037537239e-06,7.77761653495797e-06,9.32267037537239e-06,7.18677064147664e-07,0,0,0,0.000394001228731966,0,0,1.15849420208159e-06,0,0,0,0,0.000457105307879818,0,1.10625455177512e-05,3.27964513925627e-05,4.49172947674636e-06,0.000130369643957795,0,9.33797025994608e-06,0,0,0,0,1.25558127852352e-05,0,0,7.05143827674545e-06,5.11181186525928e-06,0,9.32267037537239e-06,0,7.62565886127979e-05,3.20795625401754e-05,0,0,7.41770985848578e-06
Omni9,0,3.00693790953203e-06,0,0,0,0,0,1.29449664901315e-06,0,0,0,0.000586049038725633,0,0,2.14134981980192e-06,0,0,1.19145779649768e-06,0,0.000706293718436534,0,9.78362878213754e-05,6.07474903385897e-05,4.10204892071149e-06,5.70053362660441e-05,0,1.22124613940488e-05,7.82674295410279e-06,0,0,0,1.41394609223091e-05,0,0,1.47636482245374e-05,1.18327502808555e-05,0,0,0,0,0,0,0,0
Omni10,0,0,0,0,1.06476635830519e-05,1.51582896852913e-05,1.06476635830519e-05,0,0,1.12114999287071e-05,0,0.000163373838157993,0,0,3.74568300869093e-06,6.36752063800311e-05,0,0,0,0.00022056185916212,5.49016235600556e-06,0,0,3.41384663815878e-06,8.30611082350901e-05,0,8.99424819252304e-06,0,0,0,0,0,0,0,0,0,0,1.06476635830519e-05,0,0,7.05463597596963e-05,0,0,1.15522701462441e-05
Omni11,0,0,0,0,0,8.04800161952503e-06,0,0,0,6.97251546148287e-06,0,0.000289177811166781,0,0,9.10933560255283e-07,3.5125797020993e-05,0,0,0,0.000373367997770333,0,0.000201174493903188,2.89278919247259e-05,1.21716177144818e-06,1.05537193373978e-05,0,5.30185420050668e-06,4.80473731430501e-06,0,0,0,1.63076769733845e-05,0,4.95918066864096e-06,4.7502687671448e-06,1.27301708111497e-05,0,0,0,0,2.5861381790822e-05,0,0,0
Omni12,0,0,0,0,2.72744744973961e-05,0,2.72744744973961e-05,0,0,1.64896584300738e-05,0,0.000394797808727632,0,0,2.34158936109211e-06,8.15519608545089e-05,0,1.90342779154828e-06,0,0.000671727707764917,8.87978474113884e-06,0.000600934151778931,5.506380080874e-05,2.36246925503515e-06,4.29298658641395e-05,0,1.24897980551187e-05,1.12376494297772e-05,0,0,0,2.80520121608136e-05,0,0,0,1.36944458493125e-05,0,2.72744744973961e-05,0,0,5.74235850641387e-05,0,0,0
Omni13,0,0,0,0,0,0,0,0,0,1.41118655522984e-05,0,0.000257600530310526,0,0,1.73898942725527e-06,5.4454312014762e-05,0,1.23825151755413e-06,0,0.000406889089889487,5.71334319135695e-06,0,4.92838843142105e-05,2.04927027597721e-06,0.000123329185974929,0,7.9892342071182e-06,7.28558378475551e-06,0,0,0,1.6747197420323e-05,0,6.91138846684128e-06,6.12446688861217e-06,0,0,0,0,0,0,0,0,0
Omni14,0,0,0,0,8.88631040726444e-06,0,8.88631040726444e-06,9.10068776624272e-07,0,0,0,0.000658335518088322,0,0,1.37123119038002e-06,0,0,1.44149500961468e-06,0,0.000877874834662393,0,0.00048087017575025,0.000114656954405579,2.81054224010842e-06,4.19248444247907e-05,0,0,8.63107299032735e-06,0,0,0,0,0,0,9.11428602463647e-06,2.22912488670236e-05,4.49130288117894e-05,8.88631040726444e-06,0,0,5.35688107625946e-05,0,0,0
Omni15,0,0,5.29548676963861e-06,0,1.08743806995585e-05,0,1.08743806995585e-05,0,0,1.33565640510076e-05,0,0.000646459870475413,0,0,0,0,0,1.52963537242627e-06,0,0.00109029907243401,9.4755705682573e-06,0.000514348747512529,5.80169707578907e-05,3.84553938218149e-06,3.4425883469255e-05,0,9.81829159037578e-06,9.21944280597214e-06,0,0,0,4.11514863530985e-05,2.96045004361316e-06,9.71137676571478e-06,1.11536598782742e-05,5.91056264594636e-06,0,1.08743806995585e-05,0,0,5.40641521179306e-05,0,0,0
PPL1,0,0,0,0.000189136143650208,3.00359352477112e-05,2.22767412083079e-05,3.00359352477112e-05,0,0,0,1.05980313830787e-05,0,0,0,0,0,0,4.34274906858774e-06,0,0,0,0,0,0,0,0,1.39236865537341e-05,0,0,3.20027897905908e-05,0,0,0,1.24868325614331e-05,4.65802316637214e-05,0,0,3.00359352477112e-05,0,0,0.00012148546180509,4.17851642189436e-05,0,0
PPL2,0,0,6.9138198728775e-06,0.000241683810483499,0,1.64095108451363e-05,0,0,0,0,0,0,0,0,2.61356215282414e-06,0,0,3.66461003034412e-06,7.93848168913214e-06,0,1.28665642499206e-05,0,0,0,2.76371375635063e-06,0,1.64188883332874e-05,1.3397671918359e-05,0,0,2.23637769714603e-05,0,0,1.0278624024025e-05,3.86583353786984e-05,0,4.40330226377585e-05,0,0,0,6.51292700187846e-05,1.45451282922345e-05,0,1.59282904752705e-05
PPL3,0,0,0,0.000230886758003984,4.68352522798933e-05,0,4.68352522798933e-05,0,0,0,9.90830423742438e-06,0,0,0,0,0,0,5.23812055439869e-06,0,0,1.229451446469e-05,0,0,0,2.46558603883398e-06,0,4.44159897073239e-05,1.86627916987931e-05,0,2.48880221200951e-05,5.42601871103906e-05,3.58752193384052e-05,0,1.78658547644931e-05,6.99556072302096e-05,0,7.38035099081947e-05,4.68352522798933e-05,0,9.62358763825256e-05,0.000113517615665963,4.33470027066188e-05,0,0
PPL4,0,5.88409174959096e-06,1.13139790745204e-05,0,4.3943346317812e-05,2.4683832013659e-05,4.3943346317812e-05,0,4.2972129734729e-06,0,0,0,0,0,2.1739550193063e-05,0.000115840762691581,0,5.24483248064177e-06,4.66728793103845e-06,0,2.04277636012041e-05,0,2.41067557161885e-05,2.72365380541471e-06,2.71258000535657e-06,0,0,0,0,0,2.74087978849954e-05,0,0,1.7931020513763e-05,8.76244122089308e-05,0,0,4.3943346317812e-05,2.87766775189867e-05,0,0,3.16911221635136e-05,0,2.50325370491509e-05
PPL5,1.50949071459459e-05,0,1.05866013486018e-05,0.000310705980888378,5.6416341997245e-05,2.58688222849333e-05,5.6416341997245e-05,0,0,0,8.66937443716351e-06,0,0,0,4.52265288253036e-06,0,0,4.8100915886424e-06,0,0,2.72885743675749e-05,0,0,0,5.84518600628566e-06,3.91470053284486e-05,2.45724458317607e-05,2.0903245597482e-05,0,0,0,3.16886191502339e-05,0,0,5.95361279652671e-05,0,7.62236483217609e-05,5.6416341997245e-05,0,0,0.000150317918822125,3.70688694022115e-05,0,0
PPL6,0,0,0,0,0,3.64367738326178e-05,0,0,1.28704213068785e-05,0,0,0,0,0,0,0,0,5.7065347811869e-06,0,0,2.19583799020975e-05,0,0,0,0,0,0,0,0,0,0,3.41848516885702e-05,0,2.50719156721916e-05,0.000123289328562191,0,0,0,0,0,0.000126084599724354,6.18414181121191e-05,7.03913443360321e-05,3.05296424300625e-05
PPL7,0,0,1.16521238500257e-05,0,5.50798655977167e-05,2.89167886844924e-05,5.50798655977167e-05,0,1.16646068628982e-05,0,2.32834044125834e-05,0,0,0,1.83890478926066e-05,0,0,5.83994931776301e-06,0,0,0,0,0,0,5.06257150616702e-06,0,3.82249419546211e-05,1.99263507390342e-05,2.19987598586775e-05,0,0,0,0,2.03703034513283e-05,0.000181342234239415,5.98970445363792e-06,0,5.50798655977167e-05,3.21917095402305e-05,0,0.000121466198025019,7.79645355793896e-05,0,0
PPL8,0,0,5.99513782874728e-05,0,0,0.000179939831479385,0,0,0,0,4.41532460280283e-05,0,0,0,0,0.000808513561866558,0,3.21955925286401e-05,0,0,0,0,0,0,2.20494766507896e-05,0,0.000158106298439812,0.000130728822508208,0,0,0.00020406284506342,0,0,0.000117728694898161,0.000872473487658765,0,0,0,0,0.00037540129637557,0,0,0,0.000149556054680215
PPL9,0,0,0,0,3.62357153397849e-05,0,3.62357153397849e-05,0,9.36028004323399e-06,0,0,0,0,0,0,0,0,8.18813204041776e-06,0,0,0,0,0,0,1.30490540248792e-05,5.67955502956541e-05,3.34547556011087e-05,2.80769165296986e-05,0,0,7.41993075626492e-05,0,0,3.05709853175365e-05,0.000201890939132491,0,0,3.62357153397849e-05,0,0,0.000382533274118964,0.000110133342350014,0,4.42861492368979e-05
PPL10,0,0,0,0.0004090306583847,3.36133413249521e-05,3.13944567129548e-05,3.36133413249521e-05,0,0,0,2.52014755145328e-05,0,0,0,0,0,0,6.78805027036983e-06,0,0,2.93236780822808e-05,0,0,0,0,0,2.65997468339159e-05,0,0,0,4.16220001029997e-05,0,0,2.86553761687269e-05,0.000151490848217091,0,0,3.36133413249521e-05,0,0,0.000168487016189203,6.55672516755611e-05,0,3.52575017740671e-05
PPL11,0,0,0,0,4.02034333992677e-05,1.14377674522702e-05,4.02034333992677e-05,3.4501012514706e-06,6.7846856800904e-06,0,0,0,8.21473776930877e-06,0,2.40546038884042e-06,5.33406744325984e-05,4.02982076607031e-06,2.30306278060631e-06,6.08009752022286e-06,0,2.63872799596877e-05,0,0,0,0,0,0,1.37735026367847e-05,0,0,0,0,3.48566033724936e-06,7.16103682950277e-06,4.12740347699099e-05,0,3.32181977438128e-05,4.02034333992677e-05,0,0,5.12234576197883e-05,0,0,1.20939052036611e-05
PPL12,0,0,4.52751916557771e-06,5.27447585641532e-05,2.42023845063948e-05,1.23690369154067e-05,2.42023845063948e-05,0,5.65197815552911e-06,0,5.20751440834896e-06,0,0,0,0,4.96946330523152e-05,0,2.65209571083905e-06,0,0,0,0,0,0,0,1.4523045285735e-05,0,1.00794896684484e-05,0,1.08335103514763e-05,0,1.48778092530665e-05,0,8.92311363536995e-06,3.97135304504683e-05,0,0,2.42023845063948e-05,0,0,0,1.58796637771927e-05,0,1.23589684921935e-05
PPL13,0,0,0,0.000348123182505685,4.90156946474064e-05,6.04617343996098e-05,4.90156946474064e-05,0,0,0,2.06889000272983e-05,0,0,0,0,0,0,9.55456708014052e-06,0,0,2.05880971566287e-05,0,0,0,7.83960594317718e-06,0,4.31854785908233e-05,0,0,0,8.42154626505755e-05,0,0,3.34232525411333e-05,0.000134549987278383,0,0,4.90156946474064e-05,0,0,0.000218722064138304,0,0,5.04702554583467e-05
PPL14,0,0,0,0.000191306042245377,2.98644599569073e-05,1.77169047625156e-05,2.98644599569073e-05,0,1.09840460627931e-05,0,7.97488372728118e-06,0,0,0,0,0,0,3.37277264602397e-06,0,0,0,0,0,0,2.70926777957613e-06,1.89270771000859e-05,1.0487926031052e-05,0,0,0,3.04514036021896e-05,0,0,1.19424972575991e-05,6.16037622218575e-05,0,0,2.98644599569073e-05,0,0,0,0,0,0
PPL15,0,0,0,0.000538557033539855,8.35051766950754e-05,5.5400582315569e-05,8.35051766950754e-05,0,0,0,0,0,0,0,0,0,0,8.51752431768219e-06,8.96878008648621e-06,0,2.32864576751128e-05,0,0,0,1.02231903847899e-05,0,3.70083742783117e-05,3.48326662063973e-05,0,0,0,0,0,3.76372828182432e-05,0.000141702753144879,0,0,8.35051766950754e-05,0,0,0.000358649025259098,5.68935377163926e-05,0,0
